# Mysuru SWM simulator export
# generation_tpd,600
# coverage,100.00%
# diesel_l_per_day,456.4
# cost_per_tonne_inr,936
# efficiency_score,79.7
ward_no,ward,zone,area_km2,population,generation_tpd,density_t_km2,pickups_per_week,collection_points,collected_tpd,standing_tpd,coverage,trips_per_day,fleet_km,diesel_l,haul_km_one_way,destination
12,Saraswathipuram,8,1.339,16311,10.89,8.13,7,123,10.89,0.000,100.0,8.02,68.6,7.32,3.70,"Vidyaranyapuram Compost Plant"
13,Yadavagiri,8,1.725,10186,5.59,3.24,7,66,5.59,0.000,100.0,4.12,71.3,7.56,7.08,"Hootagalli ZWM Unit"
14,Gokulam,1,1.280,9672,5.69,4.45,7,75,5.69,0.000,100.0,4.19,44.7,4.73,4.29,"Kesare Processing Plant"
15,Devaraja Mohalla,7,3.127,22864,12.86,4.11,7,188,12.86,0.000,100.0,9.47,72.9,7.61,2.64,"Rayanakere Processing Plant"
16,Mandi Mohalla,2,1.686,23851,14.92,8.85,7,183,14.92,0.000,100.0,10.98,58.3,6.19,2.19,"Vidyaranyapuram Compost Plant"
17,Ashokapuram,6,1.416,14452,8.53,6.02,7,104,8.53,0.000,100.0,6.28,66.0,7.05,4.56,"Vidyaranyapuram Compost Plant"
18,Chamundipuram,7,2.887,16495,9.47,3.28,7,109,9.47,0.000,100.0,6.97,63.5,6.56,2.79,"Sewage Farm Landfill (capping site)"
19,Vidyaranyapuram,8,1.723,10535,5.88,3.41,7,73,5.88,0.000,100.0,4.33,72.6,7.71,6.97,"Hootagalli ZWM Unit"
20,Rajivnagar,9,1.954,21986,13.53,6.92,7,157,13.53,0.000,100.0,9.96,103.4,11.06,4.58,"Vidyaranyapuram Compost Plant"
21,Kesare,5,2.323,14075,7.76,3.34,7,104,7.76,0.000,100.0,5.71,74.9,7.85,4.78,"Sewage Farm Landfill (capping site)"
22,Bannimantap A,8,1.468,11366,6.55,4.46,7,75,6.55,0.000,100.0,4.82,73.9,7.86,6.34,"Kesare Processing Plant"
23,Bannimantap B,2,1.884,14495,8.69,4.61,7,122,8.69,0.000,100.0,6.40,33.4,3.41,1.38,"Sewage Farm Landfill (capping site)"
24,Udayagiri,6,1.791,17951,10.99,6.14,7,128,10.99,0.000,100.0,8.09,59.5,6.31,2.97,"Vidyaranyapuram Compost Plant"
25,Azeez Sait Nagar,1,1.834,14822,8.30,4.53,7,100,8.30,0.000,100.0,6.11,49.5,5.17,2.80,"Kesare Processing Plant"
26,Rajendranagar,3,2.197,14284,7.93,3.61,7,123,7.93,0.000,100.0,5.84,66.3,6.96,4.22,"Kesare Processing Plant"
27,Vishweshwaranagar,5,3.243,21996,11.86,3.66,7,152,11.86,0.000,100.0,8.73,114.1,12.08,5.25,"Sewage Farm Landfill (capping site)"
28,Nazarbad,7,4.106,20461,10.85,2.64,7,158,10.85,0.000,100.0,7.99,119.9,12.54,5.32,"Rayanakere Processing Plant"
29,Lakshmipuram,9,2.111,13721,7.62,3.61,7,97,7.62,0.000,100.0,5.61,74.6,7.87,5.09,"Hootagalli ZWM Unit"
30,Chamarajapuram,3,2.419,12802,6.88,2.84,7,101,6.88,0.000,100.0,5.06,43.7,4.53,2.76,"Kesare Processing Plant"
31,Agrahara,5,2.034,18523,11.48,5.64,7,130,11.48,0.000,100.0,8.45,59.8,6.32,2.80,"Vidyaranyapuram Compost Plant"
32,Krishnamurthypuram,4,2.393,16765,9.39,3.92,7,126,9.39,0.000,100.0,6.91,78.4,8.24,4.24,"Hootagalli ZWM Unit"
33,Kalyanagiri,4,2.782,15683,8.25,2.97,7,101,8.25,0.000,100.0,6.07,36.8,3.76,1.56,"Hootagalli ZWM Unit"
34,Alanahalli,1,1.243,10199,6.04,4.86,7,66,6.04,0.000,100.0,4.45,34.5,3.64,3.02,"Kesare Processing Plant"
35,Dattagalli,8,1.621,15814,8.85,5.46,7,129,8.85,0.000,100.0,6.51,100.5,10.76,6.85,"Vidyaranyapuram Compost Plant"
36,Gayathripuram,4,2.406,10707,5.73,2.38,7,90,5.73,0.000,100.0,4.22,45.8,4.76,3.57,"Hootagalli ZWM Unit"
37,J P Nagar,8,1.384,10597,6.15,4.44,7,86,6.15,0.000,100.0,4.53,56.1,5.94,5.01,"Kesare Processing Plant"
38,Kumbarakoppal,2,2.168,16374,9.93,4.58,7,122,9.93,0.000,100.0,7.31,53.5,5.58,2.52,"Sewage Farm Landfill (capping site)"
39,Ittigegud,3,1.886,16102,9.36,4.96,7,127,9.36,0.000,100.0,6.89,91.0,9.70,5.64,"Kesare Processing Plant"
40,Siddhartha Layout,4,1.961,11909,6.76,3.45,7,101,6.76,0.000,100.0,4.98,68.3,7.25,5.67,"Hootagalli ZWM Unit"
41,Vinayakanagar,3,2.792,17611,9.40,3.37,7,136,9.40,0.000,100.0,6.92,115.2,12.19,6.63,"Kesare Processing Plant"
42,Shanthinagar,9,1.972,19400,11.68,5.92,7,147,11.68,0.000,100.0,8.60,126.6,13.50,6.29,"Hootagalli ZWM Unit"
43,Tilaknagar,1,1.679,9692,5.48,3.26,7,77,5.48,0.000,100.0,4.03,21.9,2.24,1.42,"Kesare Processing Plant"
44,Subhashnagar,8,1.488,16300,10.37,6.97,7,134,10.37,0.000,100.0,7.63,81.9,8.75,4.69,"Vidyaranyapuram Compost Plant"
45,Sathagalli,2,1.536,27522,21.07,13.72,7,196,21.07,0.000,100.0,15.51,104.5,11.15,2.91,"Vidyaranyapuram Compost Plant"
46,Hootagalli,1,1.359,10051,5.83,4.29,7,87,5.83,0.000,100.0,4.29,43.0,4.50,3.57,"Kesare Processing Plant"
47,Belavatha,3,3.239,16125,8.54,2.64,7,128,8.54,0.000,100.0,6.29,93.5,9.82,5.49,"Kesare Processing Plant"
48,Kergalli,2,2.251,21035,12.78,5.68,7,164,12.78,0.000,100.0,9.41,37.3,3.77,0.89,"Sewage Farm Landfill (capping site)"
49,N R Mohalla,8,1.378,14130,7.95,5.77,7,100,7.95,0.000,100.0,5.85,84.2,8.98,6.19,"Vidyaranyapuram Compost Plant"
50,Ghousia Nagar,9,2.173,17666,10.03,4.62,7,147,10.03,0.000,100.0,7.38,103.3,10.98,5.83,"Sewage Farm Landfill (capping site)"
51,Tilak Nagar East,8,1.819,13357,7.81,4.29,7,88,7.81,0.000,100.0,5.75,83.7,8.86,5.85,"Vidyaranyapuram Compost Plant"
52,Bamboo Bazaar,6,1.872,23467,15.18,8.11,7,200,15.18,0.000,100.0,11.17,47.8,5.00,1.51,"Vidyaranyapuram Compost Plant"
53,Kyathamaranahalli,2,1.920,17022,11.45,5.96,7,123,11.45,0.000,100.0,8.43,67.0,7.11,3.25,"Sewage Farm Landfill (capping site)"
54,Bharathi Nagar,5,1.553,12615,7.28,4.69,7,93,7.28,0.000,100.0,5.36,68.5,7.25,5.15,"Vidyaranyapuram Compost Plant"
55,Mahadevapura,5,1.766,9223,5.00,2.83,7,59,5.00,0.000,100.0,3.68,55.0,5.80,5.75,"Vidyaranyapuram Compost Plant"
56,Kanakadasa Nagar,6,1.587,12177,7.56,4.76,7,99,7.56,0.000,100.0,5.57,62.0,6.56,4.47,"Vidyaranyapuram Compost Plant"
57,Hinkal,8,1.783,10166,5.47,3.07,7,66,5.47,0.000,100.0,4.03,75.2,7.99,7.81,"Kesare Processing Plant"
58,Manasagangothri,6,2.323,17777,10.48,4.51,7,123,10.48,0.000,100.0,7.71,101.0,10.69,5.20,"Vidyaranyapuram Compost Plant"
59,Kadakola North,5,1.603,14572,8.15,5.08,7,112,8.15,0.000,100.0,6.00,61.4,6.50,4.10,"Vidyaranyapuram Compost Plant"
60,Vasanth Nagar,7,3.626,16588,9.05,2.50,7,134,9.05,0.000,100.0,6.66,71.1,7.29,2.95,"Rayanakere Processing Plant"
61,Basaveshwara Nagar,1,2.281,12572,6.79,2.98,7,82,6.79,0.000,100.0,5.00,21.9,2.18,0.70,"Kesare Processing Plant"
62,Ashraf Nagar,5,2.225,13498,7.36,3.31,7,98,7.36,0.000,100.0,5.42,52.7,5.47,3.18,"Sewage Farm Landfill (capping site)"
63,Rajiv Gandhi Nagar,4,1.914,12117,6.54,3.42,7,86,6.54,0.000,100.0,4.81,68.6,7.22,5.41,"Hootagalli ZWM Unit"
64,Somanathapura,2,1.467,13521,9.19,6.26,7,94,9.19,0.000,100.0,6.77,23.2,2.39,1.01,"Sewage Farm Landfill (capping site)"
65,Vijayashreepura,1,1.972,11711,6.38,3.24,7,90,6.38,0.000,100.0,4.70,25.0,2.54,1.34,"Kesare Processing Plant"
