ward_no,ward_name,zone,population,households,avg_generated_tpd,avg_collected_tpd,avg_uncollected_tpd,collection_pct,standing_backlog_t,peak_day_t,fleet_capacity_tpd,capacity_utilisation_pct,autotippers,trips_per_vehicle,nearest_facility,distance_km,alt_facility,alt_distance_km,nearest_zwm,zwm_distance_km,tonne_km_per_day,segregation_pct,status,priority_score,recommended_action
44,Bannimantap,5,9164,2083,9.93,8.86,1.06,89.3,4.39,12.37,9.20,108,4,2,KES,4.4,VID,9.1,ZWM-N,9.2,39,44,critical,41,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 8%. Clear 4.4 t standing backlog with a weekend compactor drive. Segregation at source is 44% — deploy marshals and dry-waste collection centre outreach. High load density (1.08 kg/person/day) indicates commercial/market inflow — meter bulk generators separately.
2,Sunnadakeri,1,12765,2901,7.58,6.64,0.94,87.6,5.54,9.61,6.90,110,3,2,VID,4.5,RAY,6.8,ZWM-W,7.5,30,67,critical,39,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 10%. Clear 5.5 t standing backlog with a weekend compactor drive.
45,Bannimantap HUDCO,5,13550,3080,9.79,8.84,0.94,90.4,5.27,11.17,9.20,106,4,2,KES,3.3,VID,10.2,ZWM-N,9.6,29,44,critical,39,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 6%. Clear 5.3 t standing backlog with a weekend compactor drive. Segregation at source is 44% — deploy marshals and dry-waste collection centre outreach.
32,Ontikoppal,4,13585,3087,7.37,6.66,0.71,90.3,4.01,9.01,6.90,107,3,2,VID,6.9,KES,7.5,ZWM-N,7.5,46,54,critical,38,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 7%. Split peak-day loads to KES (7.5 km) to relieve VID; primary haul is 6.9 km. Clear 4.0 t standing backlog with a weekend compactor drive. Segregation at source is 54% — deploy marshals and dry-waste collection centre outreach.
50,Gandhi Nagar,6,9149,2079,5.30,4.43,0.87,83.6,4.00,6.39,4.60,115,2,2,KES,5.4,VID,8.2,ZWM-W,11.1,24,55,critical,36,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 15%. Primary haul is 5.4 km to KES with no closer alternative — a secondary transfer point would cut round-trip time. Clear 4.0 t standing backlog with a weekend compactor drive. Segregation at source is 55% — deploy marshals and dry-waste collection centre outreach.
26,"Hebbal, Lakshmikanthanagar",4,15437,3508,8.43,8.27,0.16,98.0,1.70,9.73,9.20,92,4,2,KES,10.4,VID,10.8,ZWM-N,2.1,86,53,stable,34,Haul is 10.4 km to KES. Site a transfer station or decentralised ZWM unit — a nearby unit already sits 2.1 km away. Segregation at source is 53% — deploy marshals and dry-waste collection centre outreach.
39,Kailasapuram,5,10006,2274,7.16,6.59,0.56,92.1,3.45,8.63,6.90,104,3,2,KES,6.3,VID,7,ZWM-W,9.8,42,53,critical,34,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 4%. Split peak-day loads to VID (7.0 km) to relieve KES; primary haul is 6.3 km. Clear 3.5 t standing backlog with a weekend compactor drive. Segregation at source is 53% — deploy marshals and dry-waste collection centre outreach.
57,Vidyanagar,7,13618,3095,7.27,6.65,0.62,91.4,4.54,8.88,6.90,105,3,2,RAY,4.6,VID,6.4,ZWM-W,10.3,31,53,critical,34,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 5%. Clear 4.5 t standing backlog with a weekend compactor drive. Segregation at source is 53% — deploy marshals and dry-waste collection centre outreach.
24,Vijayanagar,3,27702,6296,18.09,17.95,0.14,99.2,0.98,22.26,20.70,87,9,2,VID,8.2,KES,11.5,ZWM-N,4.7,147,69,stable,33,Haul is 8.2 km to VID. Site a transfer station or decentralised ZWM unit — a nearby unit already sits 4.7 km away.
34,Medhar Block,4,10101,2296,7.13,6.59,0.54,92.5,2.96,8.35,6.90,103,3,2,VID,6.4,KES,7.3,ZWM-W,8.3,42,55,critical,33,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 3%. Split peak-day loads to KES (7.3 km) to relieve VID; primary haul is 6.4 km. Clear 3.0 t standing backlog with a weekend compactor drive. Segregation at source is 55% — deploy marshals and dry-waste collection centre outreach.
43,Tilak Nagar,5,10190,2316,7.26,6.65,0.61,91.5,2.96,8.68,6.90,105,3,2,KES,5.7,VID,7.9,ZWM-N,8.9,38,50,critical,33,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 5%. Primary haul is 5.7 km to KES with no closer alternative — a secondary transfer point would cut round-trip time. Clear 3.0 t standing backlog with a weekend compactor drive. Segregation at source is 50% — deploy marshals and dry-waste collection centre outreach.
52,Udayagiri,6,15346,3488,9.00,8.59,0.41,95.5,2.85,10.87,9.20,98,4,2,VID,6.9,RAY,7.1,ZWM-W,10.3,59,64,strained,32,Split peak-day loads to RAY (7.1 km) to relieve VID; primary haul is 6.9 km. Clear 2.9 t standing backlog with a weekend compactor drive.
33,Paduvarahalli,3,9302,2114,4.91,4.45,0.46,90.6,2.44,5.84,4.60,107,2,2,VID,6.4,KES,9.1,ZWM-N,6.7,28,63,critical,29,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 7%. Primary haul is 6.4 km to VID with no closer alternative — a secondary transfer point would cut round-trip time. Clear 2.4 t standing backlog with a weekend compactor drive.
41,Veeranagere,5,9726,2210,6.99,6.55,0.44,93.7,2.28,8.48,6.90,101,3,2,KES,5.5,VID,7.8,ZWM-N,9.9,36,45,critical,29,Add 1 autotipper or an extra daily trip — load exceeds assigned capacity by 1%. Primary haul is 5.5 km to KES with no closer alternative — a secondary transfer point would cut round-trip time. Clear 2.3 t standing backlog with a weekend compactor drive. Segregation at source is 45% — deploy marshals and dry-waste collection centre outreach.
30,Brindhavan Extension,4,8393,1907,4.56,4.33,0.24,94.8,1.79,5.32,4.60,99,2,2,VID,8.1,KES,9,ZWM-N,5,35,64,strained,27,Haul is 8.1 km to VID. Site a transfer station or decentralised ZWM unit — a nearby unit already sits 5.0 km away.
63,Siddarthanagar,7,12515,2844,6.71,6.46,0.25,96.3,1.92,8.02,6.90,97,3,2,RAY,6.5,VID,7.4,ZWM-W,11.1,42,55,strained,27,Split peak-day loads to VID (7.4 km) to relieve RAY; primary haul is 6.5 km. Segregation at source is 55% — deploy marshals and dry-waste collection centre outreach.
5,Gunduraonagar,1,14661,3332,8.90,8.45,0.45,95.0,2.67,11.17,9.20,97,4,2,VID,3,RAY,6.6,ZWM-W,5.8,25,59,strained,26,Clear 2.7 t standing backlog with a weekend compactor drive. Segregation at source is 59% — deploy marshals and dry-waste collection centre outreach.
49,N.R. Mohalla,6,15137,3440,8.87,8.52,0.35,96.0,1.70,11.17,9.20,96,4,2,KES,4.6,VID,8.8,ZWM-N,10.9,39,59,strained,25,Segregation at source is 59% — deploy marshals and dry-waste collection centre outreach.
65,Ittigegudu,7,16733,3803,8.90,8.59,0.31,96.5,2.19,10.18,9.20,97,4,2,VID,4.3,RAY,6.1,ZWM-W,7.6,37,57,strained,25,Clear 2.2 t standing backlog with a weekend compactor drive. Segregation at source is 57% — deploy marshals and dry-waste collection centre outreach.
10,Vidyaranyapuram,1,15104,3433,9.02,8.59,0.43,95.2,3.29,10.74,9.20,98,4,2,VID,1.7,RAY,6,ZWM-W,5,15,60,strained,24,Clear 3.3 t standing backlog with a weekend compactor drive. Segregation at source is 60% — deploy marshals and dry-waste collection centre outreach.
64,Nazarbad,5,8903,2023,6.39,6.22,0.17,97.3,0.98,7.99,6.90,93,3,2,VID,6,RAY,7.1,ZWM-W,9.1,37,55,stable,23,Split peak-day loads to RAY (7.1 km) to relieve VID; primary haul is 6.0 km. Segregation at source is 55% — deploy marshals and dry-waste collection centre outreach.
31,Gokulam,4,10780,2450,5.93,5.88,0.04,99.3,0.31,7.15,6.90,86,3,2,VID,7.4,KES,8.1,ZWM-N,6.3,44,54,stable,22,Haul is 7.4 km to VID. Site a transfer station or decentralised ZWM unit — a nearby unit already sits 6.3 km away. Segregation at source is 54% — deploy marshals and dry-waste collection centre outreach.
3,Lakshmipuram,1,12814,2912,10.13,10.03,0.11,98.9,0.42,12.15,11.50,88,5,2,VID,5,RAY,8.3,ZWM-W,7,50,65,stable,21,High load density (0.79 kg/person/day) indicates commercial/market inflow — meter bulk generators separately.
62,Gayathripuram,7,15625,3551,8.33,8.24,0.09,98.9,0.52,10.03,9.20,91,4,2,VID,5.3,RAY,5.6,ZWM-W,9,44,54,stable,21,Split peak-day loads to RAY (5.6 km) to relieve VID; primary haul is 5.3 km. Segregation at source is 54% — deploy marshals and dry-waste collection centre outreach.
46,Kesare,6,16712,3798,9.84,9.57,0.27,97.2,1.68,11.54,10.35,95,3,3,KES,1.4,VID,12,ZWM-N,11,13,53,strained,20,Segregation at source is 53% — deploy marshals and dry-waste collection centre outreach.
22,Sharadadevinagar,3,17974,4085,9.37,9.37,0.00,100.0,0.00,10.87,13.80,68,4,3,VID,5.6,RAY,10.6,ZWM-W,2.7,52,65,stable,19,Primary haul is 5.6 km to VID with no closer alternative — a secondary transfer point would cut round-trip time.
35,Devaraja Mohalla,3,8064,1833,7.32,7.32,0.00,100.0,0.00,8.58,10.35,71,3,3,VID,6.2,KES,7.2,ZWM-W,8.6,45,66,stable,19,Split peak-day loads to KES (7.2 km) to relieve VID; primary haul is 6.2 km. High load density (0.91 kg/person/day) indicates commercial/market inflow — meter bulk generators separately.
55,Kalyanagiri,7,15846,3601,8.55,8.55,0.00,100.0,0.00,10.24,10.35,83,3,3,RAY,5.2,VID,5.7,ZWM-W,9.5,44,54,stable,19,Split peak-day loads to VID (5.7 km) to relieve RAY; primary haul is 5.2 km. Segregation at source is 54% — deploy marshals and dry-waste collection centre outreach.
60,K.N. Pura,7,12337,2804,6.69,6.43,0.26,96.1,2.49,7.97,6.90,97,3,2,RAY,1.7,VID,4.6,ZWM-W,8.4,11,64,strained,19,Clear 2.5 t standing backlog with a weekend compactor drive.
17,Kuvempunagar KHB,2,12654,2876,6.37,6.25,0.11,98.2,1.35,7.25,6.90,92,3,2,VID,3.6,RAY,8.5,ZWM-W,1.8,23,66,stable,18,Service is within capacity. Hold current deployment and monitor weekly.
23,Jayalakshmipuram,3,10652,2421,5.59,5.59,0.00,100.0,0.00,6.52,6.90,81,2,3,VID,6.5,KES,10.5,ZWM-W,6.1,36,70,stable,18,Primary haul is 6.5 km to VID with no closer alternative — a secondary transfer point would cut round-trip time.
36,Subbarayanakere,1,9546,2170,5.67,5.65,0.02,99.7,0.11,6.80,6.90,82,3,2,VID,5.5,KES,8,ZWM-W,7.7,31,61,stable,17,Primary haul is 5.5 km to VID with no closer alternative — a secondary transfer point would cut round-trip time. Segregation at source is 61% — deploy marshals and dry-waste collection centre outreach.
61,Kyathamaranahalli,7,7865,1787,4.23,4.16,0.06,98.5,0.33,5.11,4.60,92,2,2,VID,5.2,RAY,6.6,ZWM-W,8.5,22,63,stable,17,Split peak-day loads to RAY (6.6 km) to relieve VID; primary haul is 5.2 km.
1,Agrahara,1,9266,2106,5.53,5.53,0.01,99.9,0.04,6.85,6.90,80,3,2,VID,4.8,RAY,7.5,ZWM-W,7.4,27,53,stable,16,Segregation at source is 53% — deploy marshals and dry-waste collection centre outreach.
6,Chamundipuram,1,12586,2860,7.54,7.49,0.06,99.3,0.29,9.47,9.20,82,4,2,VID,3.2,RAY,5.8,ZWM-W,6.5,24,58,stable,16,Segregation at source is 58% — deploy marshals and dry-waste collection centre outreach.
18,Kuvempunagar South,3,13498,3068,7.04,7.04,0.00,100.0,0.00,8.17,9.20,77,4,2,VID,4.2,RAY,8.9,ZWM-W,1,30,60,stable,16,Segregation at source is 60% — deploy marshals and dry-waste collection centre outreach.
19,Kannegowdana Koppal,3,10614,2412,5.55,5.55,0.00,100.0,0.00,6.74,6.90,80,3,2,VID,5.3,RAY,10.1,ZWM-W,4,29,66,stable,16,Primary haul is 5.3 km to VID with no closer alternative — a secondary transfer point would cut round-trip time.
20,Saraswathipuram,3,9196,2090,5.70,5.70,0.00,100.0,0.00,6.61,6.90,83,3,2,VID,5.6,KES,9.7,ZWM-W,6.1,32,76,stable,16,Primary haul is 5.6 km to VID with no closer alternative — a secondary transfer point would cut round-trip time.
21,Kuvempunagar North,3,8113,1844,4.21,4.13,0.07,98.3,0.51,5.19,4.60,91,2,2,VID,4.7,RAY,9.6,ZWM-W,1.7,19,64,stable,16,Service is within capacity. Hold current deployment and monitor weekly.
7,Krishnamurthipuram,2,11299,2568,5.66,5.66,0.00,100.0,0.00,6.79,6.90,82,3,2,VID,5.1,RAY,9,ZWM-W,6.3,29,71,stable,15,Primary haul is 5.1 km to VID with no closer alternative — a secondary transfer point would cut round-trip time.
47,Subhashnagar,6,10670,2425,6.36,6.23,0.13,97.9,0.72,7.98,6.90,92,2,3,KES,2.8,VID,10.5,ZWM-N,10.6,17,63,stable,15,Service is within capacity. Hold current deployment and monitor weekly.
8,Jayanagar,2,7889,1793,3.94,3.92,0.01,99.7,0.11,4.54,4.60,86,2,2,VID,4.1,RAY,8.4,ZWM-W,5.2,16,61,stable,14,Segregation at source is 61% — deploy marshals and dry-waste collection centre outreach.
12,J.P. Nagar,2,22982,5223,11.77,11.72,0.05,99.6,0.26,14.02,13.80,85,6,2,VID,1.7,RAY,6.7,ZWM-W,3.5,20,75,stable,14,Service is within capacity. Hold current deployment and monitor weekly.
4,Ramachandra Agrahara,1,8753,1989,5.28,5.27,0.00,99.9,0.02,6.52,6.90,76,2,3,VID,3.6,RAY,6.6,ZWM-W,6.6,19,67,stable,13,Service is within capacity. Hold current deployment and monitor weekly.
9,Asokapuram,2,14035,3190,7.07,7.07,0.00,100.0,0.00,7.95,9.20,77,4,2,VID,3,RAY,7.5,ZWM-W,4.6,21,70,stable,13,Service is within capacity. Hold current deployment and monitor weekly.
16,Ramakrishnanagar,2,18451,4193,9.34,9.32,0.01,99.9,0.06,11.14,11.50,81,5,2,VID,2,RAY,6.1,ZWM-W,3.7,19,66,stable,13,Service is within capacity. Hold current deployment and monitor weekly.
13,Srirampura 2nd Stage,2,18355,4172,9.29,9.26,0.03,99.7,0.19,11.26,11.50,81,5,2,VID,0.9,RAY,5.6,ZWM-W,4.5,8,72,stable,11,Service is within capacity. Hold current deployment and monitor weekly.
14,Aravinda Nagar,2,10417,2368,5.26,5.26,0.00,100.0,0.00,6.20,6.90,76,3,2,VID,2.9,RAY,7.8,ZWM-W,2.4,15,73,stable,11,Service is within capacity. Hold current deployment and monitor weekly.
15,Vivekanandanagar,2,9557,2172,4.90,4.90,0.00,100.0,0.00,5.70,6.90,71,2,3,VID,2.4,RAY,7.1,ZWM-W,2.8,12,63,stable,11,Service is within capacity. Hold current deployment and monitor weekly.
11,Vishweshwara Nagar,2,9884,2246,5.00,5.00,0.00,100.0,0.00,6.00,6.90,72,3,2,VID,2.4,RAY,7.3,ZWM-W,3.8,12,67,stable,10,Service is within capacity. Hold current deployment and monitor weekly.
58,Ragavendranagar,7,6407,1456,3.49,3.49,0.00,100.0,0.00,4.17,4.60,76,2,2,VID,3,RAY,3.3,ZWM-W,6.9,10,67,stable,10,Service is within capacity. Hold current deployment and monitor weekly.
